// extract from <https://www.pastraiser.com/cpu/gameboy/gameboy_opcodes.html>
NOP 1:4 - - - -
SUB d8 2:8 Z 1 H C
RST 10H 1:16 - - - -
RET C 1:20/8 - - - -
RETI 1:16 - - - -
JP C,a16 3:16/12 - - - -
 
CALL C,a16 3:24/12 - - - -
 
SBC A,d8 2:8 Z 1 H C
RST 18H 1:16 - - - -
LDH (a8),A 2:12 - - - -
POP HL 1:12 - - - -
LD (C),A 2:8 - - - -
 
 
PUSH HL 1:16 - - - -
AND d8 2:8 Z 0 1 0
RST 20H 1:16 - - - -
ADD SP,r8 2:16 0 0 H C
JP (HL) 1:4 - - - -
LD (a16),A 3:16 - - - -
 
 
 
XOR d8 2:8 Z 0 0 0
RST 28H 1:16 - - - -
LDH A,(a8) 2:12 - - - -
POP AF 1:12 Z N H C
LD A,(C) 2:8 - - - -
DI 1:4 - - - -
 
PUSH AF 1:16 - - - -
OR d8 2:8 Z 0 0 0
RST 30H 1:16 - - - -
LD HL,SP+r8 2:12 0 0 H C
LD SP,HL 1:8 - - - -
LD A,(a16) 3:16 - - - -
EI 1:4 - - - -
 
 
CP d8 2:8 Z 1 H C
RST 38H 1:16 - - - -
